epoch;loss;jap;all
1;531.1817016601562;0.222013;0.222013
2;117.13655090332031;16.474993;-16.444826
3;82.57625579833984;7.115364;-7.19798
4;80.5685043334961;7.4863224;-7.4852357
5;80.72162628173828;5.488924;-5.5217524
6;80.42252349853516;6.7865934;-6.795107
7;79.8837661743164;5.0538917;-5.0768905
8;79.75424194335938;7.3770533;-7.3812933
9;79.1046371459961;6.653067;-6.656405
10;79.09381103515625;6.0203958;-6.031382
11;78.69596862792969;5.681492;-5.675189
12;78.9352035522461;3.4391856;-3.4468296
13;77.64549255371094;5.702185;-5.70068
14;78.11442565917969;6.514227;-6.5153494
15;77.76445007324219;7.6520576;-7.657764
16;77.64620971679688;8.363896;-8.369279
17;78.1581039428711;7.7440557;-7.748063
18;79.33837127685547;6.3572507;-6.3590803
19;77.95169830322266;6.1523876;-6.152877
20;78.0560073852539;5.639911;-5.6297092
21;77.91453552246094;5.7908535;-5.7968946
22;77.14527893066406;9.26189;-9.282039
23;77.77669525146484;8.70163;-8.711523
24;77.80655670166016;5.6708164;-5.6862516
25;77.32119750976562;10.122054;-10.13537
26;78.21511840820312;4.7798347;-4.787025
27;76.95789337158203;8.383585;-8.39748
28;77.09722137451172;7.5107956;-7.512776
29;77.16978454589844;8.405763;-8.433696
30;77.60304260253906;5.947514;-5.956753
31;77.0647964477539;7.531431;-7.549737
32;76.94744873046875;8.286974;-8.312563
33;77.27796173095703;9.27817;-9.308232
34;77.08348846435547;8.496609;-8.518108
35;77.14335632324219;7.497311;-7.519864
36;76.47591400146484;6.2675056;-6.2723866
37;76.80054473876953;7.886485;-7.8984013
38;75.45169067382812;10.187281;-10.216706
39;76.51085662841797;8.206804;-8.208515
40;77.07976531982422;8.642433;-8.655152
41;75.70793914794922;8.012496;-8.015181
42;75.50038146972656;8.18561;-8.181546
43;76.5425033569336;8.223872;-8.224363
44;75.70110321044922;10.310664;-10.318586
45;74.92390441894531;8.17574;-8.182454
46;75.88741302490234;7.0555587;-7.0547514
47;76.62476348876953;6.942002;-6.9327083
48;76.30547332763672;7.7196217;-7.7192106
49;75.16791534423828;9.207453;-9.219643
50;75.19960021972656;7.4764304;-7.477757
51;75.35186767578125;9.060404;-9.0666
52;75.53302764892578;9.2851515;-9.303203
53;76.70736694335938;6.1343846;-6.1255727
54;75.82679748535156;13.56392;-13.560091
55;74.98760986328125;12.5965;-12.593892
56;75.27333068847656;12.910759;-12.930538
57;75.4921875;13.339703;-13.355784
58;75.98987579345703;7.8056517;-7.798034
59;73.90206146240234;14.2961645;-14.284939
60;76.44744110107422;6.097659;-6.0900464
61;75.6686782836914;12.8342705;-12.828043
62;76.17527770996094;11.164102;-11.161645
63;76.22051239013672;8.807005;-8.787729
64;75.0453872680664;11.107233;-11.0861
65;75.69414520263672;6.908149;-6.898099
66;75.08905792236328;15.879447;-15.856947
67;75.37948608398438;9.108954;-9.088416
68;75.50716400146484;11.007618;-10.986571
69;78.2469711303711;14.875804;-14.863018
70;74.81987762451172;12.947654;-12.942267
71;75.46881103515625;16.664469;-16.652615
72;75.81098175048828;6.969145;-6.947889
73;74.68269348144531;13.252361;-13.23911
74;74.24285888671875;14.092599;-14.103953
75;73.74882507324219;15.871367;-15.889965
76;77.77959442138672;4.554178;-4.5543666
77;74.21504211425781;12.652415;-12.639564
78;74.01154327392578;7.8668694;-7.842572
79;75.32414245605469;7.012776;-6.9861684
80;75.44103240966797;7.5508657;-7.5397944
81;76.00432586669922;9.09445;-9.081701
82;76.07766723632812;8.824461;-8.812179
83;75.53123474121094;10.031071;-10.020481
84;74.47777557373047;12.719897;-12.716402
85;75.0868148803711;8.191041;-8.179089
86;74.81808471679688;5.8463645;-5.828878
87;74.0613784790039;10.12007;-10.111752
88;74.4121322631836;12.542455;-12.5239315
89;75.36911010742188;14.94828;-14.954549
90;73.986572265625;13.363893;-13.3783655
91;76.11121368408203;5.526423;-5.5135827
92;77.1361083984375;6.425115;-6.4118347
93;76.5614013671875;8.362451;-8.3464
94;74.72975158691406;11.252927;-11.246391
95;74.60983276367188;12.649046;-12.640772
96;76.79547882080078;12.986228;-12.979327
97;74.57569122314453;12.030355;-12.017943
98;74.03516387939453;13.348412;-13.328073
99;74.02735900878906;13.742609;-13.727606
100;74.42452239990234;15.37574;-15.364496
101;73.87544250488281;13.483939;-13.4730425
102;73.79773712158203;18.317408;-18.305246
103;75.56564331054688;13.213054;-13.068929
104;74.2369384765625;9.224729;-9.46175
105;74.91215515136719;11.4084;-11.385836
106;74.05136108398438;8.605025;-8.602458
107;74.04888916015625;14.532865;-14.54294
108;74.05413055419922;15.357607;-15.3221445
109;74.47420501708984;15.831659;-15.804158
110;73.94314575195312;14.755528;-14.738449
111;73.90261840820312;15.793403;-15.762119
112;74.9300765991211;15.483424;-15.478162
113;76.6286392211914;7.521116;-7.504759
114;76.23379516601562;5.856959;-5.8760242
115;75.91449737548828;9.875751;-9.82315
116;75.72327423095703;9.978139;-9.940951
117;75.822509765625;9.28989;-9.265745
118;75.2417984008789;9.783866;-9.775478
119;74.90158081054688;12.945654;-12.891298
